brand,so_SKU,tong_ds_365,tong_luot_ban,ds_tb_per_SKU,gia_tb,pct_doanh_so
Cholimex,16,158750968576,114014,9921935536,33453.75,62.32
Làng Chài Xưa,26,22774403775,127416,875938606.730769,173865.384615385,8.94
Dh Foods,21,15553732479,185252,740653927.571429,29600.7619047619,6.11
O'food,21,14008427753,259531,667067988.238095,105504.761904762,5.5
THÍCH CAY,25,12382459917,180867,495298396.68,90736,4.86
Ottogi,21,10759027724,144936,512334653.52381,99313.6190476191,4.22
Nước Mắm Tĩn,17,8361151015,58738,491832412.647059,437705.882352941,3.28
Barona,14,6836084778,78340,488291769.857143,119456.071428571,2.68
THUẬN PHÁT,8,1257565414,26735,157195676.75,94500,0.49
I-soup,6,1065607000,35186,177601166.666667,156666.666666667,0.42
Vipep,6,927764900,98243,154627483.333333,86866.6666666667,0.36
Lee Kum Kee,9,894672300,14335,99408033.3333333,149811.111111111,0.35
Unknown,4,619213030,8919,154803257.5,133250,0.24
TINH NGUYÊN,1,156049400,4231,156049400,47111,0.06
Seaspimex Since 1993,2,151477200,7908,75738600,139000,0.06
I-Ya.ua,1,99892000,3487,99892000,68000,0.04
ÔngChàVà,1,82800000,4820,82800000,322000,0.03
Ông Chà Và,1,53778000,5929,53778000,19000,0.02
