stt,ten_sp,brand,gia_ban,doanh_so_365,so_luong_ban_365,tong_danh_gia,phan_khuc_gia
119,Nước tương Hương Việt Hảo Vị 7ml (01 túi gồm 50 gói tiện lợi sử dụng),Cholimex,20700,88398200541,38455,3160,Rẻ (<50k)
152,Ớt khô sa tế Cholimex hũ TT 100g,Cholimex,16200,68479200295,39083,5640,Rẻ (<50k)
111,"[Combo 3 Chai] Nước Mắm Nhỉ Làng Chài Xưa Cá Cơm Than, Tôm Biển, Cá Cơm Ruột Đỏ 525ml/chai nhựa cao cấp, tiết kiệm",Làng Chài Xưa,119000,9571160079,7440,4310,Trung (50-150k)
127,Thùng 6 chai nước mắm nhỉ cá cơm ruột đỏ Làng Chài Xưa 525ml/chai cá ngon vùng nước trồi 300 năm truyền thống,Làng Chài Xưa,228000,8554500096,3580,2520,Cao (>150k)
128,"Sốt bò kho, bò sốt vang O'food gói 50g",O'food,11000,8545950017,7764,2717,Rẻ (<50k)
138,Combo Mì Ý 500g & Sốt Spaghetti Ottogi 220g,Ottogi,69466,7934723615,116,9110,Trung (50-150k)
140,"Sa tế sò điệp Thích Cay 150g dùng trộn mì, hủ tiếu, phở",THÍCH CAY,59000,7846800079,1258,5260,Trung (50-150k)
146,"Hộp quà gia vị Dh Foods (có thể đóng theo yêu cầu riêng) làm quà biếu, tặng người thân, bạn bè",Dh Foods,172000,7225848814,3950,1580,Cao (>150k)
163,Bột sả nguyên chất Natural DH Foods chế biến thực phẩm 30gr - DHGVT56,Dh Foods,17292,6265821629,4161,1866,Rẻ (<50k)
181,Xốt Muối Kim Chi Hàn Quốc Barona 2 gói x 180g (tặng hũ thủy tinh cao cấp),Barona,73000,5603200014,7680,2141,Trung (50-150k)
