ten_sp,brand,gia_ban,doanh_so_365,ti_le_danh_gia,category
Thùng 6 chai nước mắm nhỉ cá cơm ruột đỏ Làng Chài Xưa 525ml/chai cá ngon vùng nước trồi 300 năm truyền thống,Làng Chài Xưa,228000,8554500096,0.3351,Nước mắm & Mắm
"Sốt bò kho, bò sốt vang O'food gói 50g",O'food,11000,8545950017,0.167,Sốt & Gia vị pha sẵn
"Hộp quà gia vị Dh Foods (có thể đóng theo yêu cầu riêng) làm quà biếu, tặng người thân, bạn bè",Dh Foods,172000,7225848814,0.1787,Muối & Bột gia vị
Bột sả nguyên chất Natural DH Foods chế biến thực phẩm 30gr - DHGVT56,Dh Foods,17292,6265821629,0.2035,Muối & Bột gia vị
Xốt Muối Kim Chi Hàn Quốc Barona 2 gói x 180g (tặng hũ thủy tinh cao cấp),Barona,73000,5603200014,0.3253,Sốt & Gia vị pha sẵn
[01 Chai Cá vàng - 60N - 500ml] Nước Mắm Tĩn Cá Cơm Ruột Đỏ Chai Thuỷ Tinh Nước Mắm Truyền Thống Sạch,Nước Mắm Tĩn,218000,5035400015,0.2005,Nước mắm & Mắm
[Tặng hộp hoặc sốt] Combo 3 gói sốt muối kim chi O'food 180g / gói,O'food,91100,2383563000,0.2303,Sốt & Gia vị pha sẵn
"Sa Tế Sò Điệp Thích Cay Sốt Trộn Mì, Hủ Tiếu, Phở Sốt Chấm Cá Viên Chiên Sốt Ướp Thịt",THÍCH CAY,59000,812970720,0.2213,Sốt & Gia vị pha sẵn
"Mắm nêm pha sẵn cao cấp Làng Chài Xưa, nguyên liệu tươi, thơm ngon đặc biệt, chai thủy tinh 300g",Làng Chài Xưa,63000,638419100,0.1658,Nước mắm & Mắm
Canh Kim Chi Thịt Gà Ăn Liền I-Soup 66g,I-soup,68000,466309000,0.0182,Gia vị nấu & Mì ăn liền
Combo 3 gói sốt muối kim chi cay dịu O'food 180g / gói tặng 1 hộp nhựa cao cấp 2L hoặc 1 gói sốt muối kim chi cùng loại,O'food,96000,460881000,0.2247,Sốt & Gia vị pha sẵn
"Sốt Trứng Muối hoàng kim Thích Cay 150g đa dụng cho các món ốc, hải sản, mì ý",THÍCH CAY,55000,439050800,0.0147,Sốt & Gia vị pha sẵn
[Chai 2 lít - Tiết kiệm] Nước Chấm Cá Cơm Than Làng Chài Xưa chai nhựa cao cấp 2 lít/chai Đặc Biệt Thanh Dịu An toàn,Làng Chài Xưa,71500,432792200,0.2771,Khác
Combo 2 nước mắm cá cơm Thuận Phát 40 độ đạm 610ml - Từ nước cốt nhĩ cá cơm Phú Quốc,THUẬN PHÁT,129000,408182084,0.2908,Nước mắm & Mắm
Tương ớt gói Cholimex 10g siêu tiện lợi (01 túi gồm 50 gói),Cholimex,27900,406509200,0.0706,Sốt & Gia vị pha sẵn
Combo 2 sốt muối kim chi O'food 180g/gói,O'food,60000,358654800,0.2139,Sốt & Gia vị pha sẵn
[Thùng 6 chai nước mắm ngon] Nước Mắm Tĩn cá cơm than Nhãn Đỏ Độ Đạm 40N Thùng 6 Chai Thủy Tinh 500ml/chai,Nước Mắm Tĩn,990000,297441000,0.2813,Nước mắm & Mắm
COMBO 2 cá vàng 60N 500ml Nước Mắm Tĩn Cá Cơm Ruột Đỏ Chai Thuỷ Tinh 500ml Nước Mắm Truyền Thống,Nước Mắm Tĩn,418000,292211000,0.2532,Nước mắm & Mắm
"Sốt muối kim chi O'food gói 180g, chuẩn vị Hàn Quốc",O'food,30000,287189500,0.1475,Sốt & Gia vị pha sẵn
"Muối hồng Himalaya Vipep nguyên hạt, xay nhuyễn 120g/200g/250g/500g/1100g - Gia vị Vipep",Vipep,18000,282481350,0.175,Muối & Bột gia vị
"Kho quẹt tôm thịt Thích Cay đóng hũ tiện lợi 250g - tôm khô, thịt ba chỉ, tóp mỡ, tiêu xanh",THÍCH CAY,79000,222007490,0.2513,Khác
Mắm Nêm Ngon Pha Sẵn Thuận Phát 950ml,THUẬN PHÁT,46000,216299000,0.5272,Nước mắm & Mắm
Sốt Spaghetti O'Food gói 120g,O'food,20000,213304000,0.1256,Sốt & Gia vị pha sẵn
Combo 5 chai Nước Mắm Phú Quốc Cao Cấp Vị Xưa Barona 40 Độ Đạm 500ml [tặng 1 hũ thủy tinh cao cấp 1 lít],Barona,427050,209704000,0.2594,Nước mắm & Mắm
"Bột Gia Vị Vipep gia vị nấu ăn hành bột, tỏi bột, ớt, ngũ vị hương, tiêu, quế, sả bột, ngò, nghệ",Vipep,17000,206632080,0.0774,Muối & Bột gia vị
Mì Trộn Phô Mai Ottogi Mini 75g,Ottogi,10150,184521200,0.0753,Gia vị nấu & Mì ăn liền
Gia vị nấu phở bò Hà Nội Natural DH Foods nêm sẵn thành phần tự nhiên gói 24gr - DHGVT75,Dh Foods,16738,183070636,0.0443,Muối & Bột gia vị
Sốt gà chiên 2 vị cay và phô mai O'food gói 120g,O'food,19500,178832500,0.1038,Sốt & Gia vị pha sẵn
Nước mắm chay 3 trong 1 Làng Chài Xưa (01 chai) 525ml trái thơm nấm ngọt đậu nành 300 năm truyền thống,Làng Chài Xưa,49000,177444800,0.1756,Nước mắm & Mắm
"Sa tế sò điệp Thích Cay 250g, trộn mì, hủ tiếu, phở, sốt cá viên chiên, dùng để ướp thịt tiện lợi ST250",THÍCH CAY,79000,177173500,0.2136,Sốt & Gia vị pha sẵn
Bột tỏi nguyên chất Natural DH Foods chế biến thực phẩm 60gr - DHGVT58,Dh Foods,18863,167786068,0.1791,Muối & Bột gia vị
[Thùng 6 chai] Nước mắm nhỉ 40 độ đạm Làng Chài Xưa nhãn vàng chai thủy tinh 500ml ủ chượp 2 lần đậm đà thơm ngon,Làng Chài Xưa,530000,161310000,0.2774,Nước mắm & Mắm
"Sốt lẩu hoàn chỉnh O'food gói 180g, có 7 vị",O'food,26000,157026000,0.1016,Sốt & Gia vị pha sẵn
[COMBO 02 BÌNH GỐM 60 ĐẠM] Nước Mắm Tĩn cá cơm ruột đỏ độ đạm 60N 250ml rin nguyên chất,Nước Mắm Tĩn,418000,154120000,0.2232,Nước mắm & Mắm
"Dầu màu điều Dh Foods gia vị chế biến thực phẩm, tạo màu tự nhiên cho món ăn lọ 100ml",Dh Foods,27667,152260262,0.1688,Muối & Bột gia vị
Thùng 6 nước mắm 60N - 500ml - Nước Mắm Tĩn Cá Cơm Ruột Đỏ Chai Thuỷ Tinh 500ml/chai Truyền Thống,Nước Mắm Tĩn,1258000,149911000,0.2275,Nước mắm & Mắm
Bột hành nguyên chất Natural DH Foods chế biến thực phẩm 40gr - DHGVT57,Dh Foods,19920,138440346,0.1791,Muối & Bột gia vị
COMBO 2 BÌNH Nước mắm Tôm Biển Truyền Thống 60N đạm - Nước mắm Tĩn - 500ml/bình Thơm Ngon Hảo Hạng,Nước Mắm Tĩn,796000,138381000,0.2122,Nước mắm & Mắm
1 Bình gốm Nước mắm Tôm Biển Truyền Thống 60N đạm - Nước mắm Tĩn - 500ml Thơm Ngon Hảo Hạng Không Chất Bảo Quản,Nước Mắm Tĩn,436000,134930000,0.1864,Nước mắm & Mắm
Gia vị nấu phở gà Natural DH Foods nêm sẵn thành phần tự nhiên gói 20gr - DHGVT77,Dh Foods,15632,127303143,0.5245,Muối & Bột gia vị
Combo 3 Hũ Sa tế Sò Điệp Thích Cay 250g Sốt Trộn Mì Đa Dụng Sa Tế Cay Trộn Hủ Tiếu,THÍCH CAY,205000,126293000,0.2067,Sốt & Gia vị pha sẵn
"[Thùng 6 chai] Nước mắm nhỉ Làng Chài Xưa nhãn xanh xuất khẩu, nhãn đỏ đậm đà, nhãn vàng sánh đặc 500ml/chai thủy tinh",Làng Chài Xưa,320000,121966000,0.2668,Nước mắm & Mắm
Thùng 6 chai nước mắm CHAY 3 trong 1 Làng Chài Xưa 525ml trái thơm nấm ngọt đậu nành 300 năm truyền thống,Làng Chài Xưa,259000,120487000,0.2571,Nước mắm & Mắm
Tương ớt Cholimex chai Pet 5kg,Cholimex,127800,120183000,0.18,Sốt & Gia vị pha sẵn
Nước mắm tôm biển Làng Chài Xưa Hồng Ngọc Đại Dương 125ml/chai,Làng Chài Xưa,10000,119662000,0.2136,Nước mắm & Mắm
"Bộ Gia Vị Tự Nhiên DH FOODS Gừng Bột, Hành Bột, Sả Bột, Tỏi Bột, Nghệ Bột, Ớt Bột, Thảo Quả, Hạt Dổi, Hạt Mắc Khén",Dh Foods,12000,118060300,0.5896,Muối & Bột gia vị
Xốt ướp thịt nướng gói 70g,Cholimex,7500,117267750,0.3479,Sốt & Gia vị pha sẵn
"Sốt ướp thịt Hàn Quốc OFood gói 80g, giúp thị mềm, ngọt, thơm dậy vị dùng cho 400g thịt",O'food,11000,116989000,0.138,Sốt & Gia vị pha sẵn
